id,first_name,last_name,degree,school,department,hire_year,hire_date,salary,country
46,Harper,Evans,MS,Stanford,Accounting,2008,2008-11-11,146535,FRANCE
47,Lillian,Walker,MS,MIT,Engineering,2005,2005-11-21,130890,ITALY
48,Jack,Anderson,MS,Stanford,Business,2010,2010-09-23,142820,ITALY
49,James,Lopez,MS,Stanford,Accounting,2021,2021-08-06,113037,FRANCE
50,Nora,Johnson,PHD,ISU,Computer Science,2011,2011-07-05,119222,USA
51,Mason,Jackson,PHD,ISU,Business,2011,2011-08-30,169642,SPAIN
52,Leo,Harris,MS,MIT,Engineering,2001,2001-05-24,192958,SPAIN
53,Riley,Flores,MBA,Harvard,Business,2013,2013-03-18,180751,MEXICO
54,Sofia,Wilson,MD,ISU,Business,2016,2016-09-11,162744,UK
55,Ella,Evans,MBA,Stanford,Computer Science,2000,2000-05-08,178764,CANADA
56,Henry,King,MD,MIT,Engineering,2025,2025-01-12,110370,USA
57,Aiden,Sanchez,MBA,Harvard,Accounting,2006,2006-06-10,185108,GERMANY
58,Lily,Lewis,PHD,MIT,Business,2000,2000-10-25,177737,CANADA
59,Sophia,Rodriguez,MS,SCU,Data Science,2013,2013-06-24,139688,MEXICO
60,Lily,Johnson,PHD,Stanford,Data Science,2020,2020-09-10,113611,MEXICO
61,Riley,Evans,PHD,Stanford,Engineering,2021,2021-11-08,112207,UK
62,Alexander,Hill,MBA,Harvard,Bio Informatics,2006,2006-11-27,199878,CANADA
63,Grace,Lee,MS,MIT,Bio Informatics,2008,2008-12-26,138664,ITALY
64,Ethan,Miller,MD,Stanford,Engineering,2021,2021-12-12,167452,ITALY
65,Sebastian,Evans,MS,Stanford,Bio Informatics,2022,2022-07-02,196277,ITALY
66,Aurora,Rodriguez,MD,SCU,Business,2010,2010-05-21,186212,MEXICO
67,Sofia,Lee,MD,SCU,Engineering,2009,2009-03-12,198564,UK
68,James,Lewis,PHD,MIT,Bio Informatics,2002,2002-05-09,126078,CANADA
69,Benjamin,Smith,PHD,MIT,Data Science,2016,2016-03-23,156158,ITALY
70,Aiden,Williams,MS,Stanford,Engineering,2001,2001-01-23,182429,MEXICO
71,Layla,Nguyen,PHD,Harvard,Computer Science,2016,2016-01-28,176795,MEXICO
72,Aurora,Thomas,MD,Stanford,Accounting,2004,2004-12-17,116814,USA
73,Isabella,Robinson,MS,Harvard,Bio Informatics,2000,2000-04-29,101022,FRANCE
74,Chloe,Harris,MS,Stanford,Business,2008,2008-08-02,126557,FRANCE
75,Aiden,Johnson,MS,MIT,Business,2006,2006-09-23,162397,GERMANY
76,Emily,Carter,PHD,Harvard,Accounting,2021,2021-01-20,111745,FRANCE
77,Sophia,Thomas,MS,SCU,Business,2023,2023-03-19,194805,SPAIN
78,Michael,Lewis,PHD,Stanford,Accounting,2012,2012-01-03,198175,FRANCE
79,Zoe,Wilson,PHD,ISU,Engineering,2001,2001-10-21,124655,MEXICO
80,Michael,Anderson,PHD,ISU,Bio Informatics,2000,2000-06-05,164021,USA
81,Aiden,Evans,MD,Stanford,Accounting,2015,2015-01-13,168114,UK
82,Lillian,Brown,PHD,ISU,Computer Science,2012,2012-09-29,176026,ITALY
83,Leo,Williams,PHD,SCU,Business,2007,2007-05-04,195746,MEXICO
84,Michael,Young,PHD,Stanford,Business,2018,2018-08-08,128300,FRANCE
85,Hazel,Hill,PHD,MIT,Business,2020,2020-10-31,171351,SPAIN
86,Stella,Brown,MS,Harvard,Data Science,2014,2014-10-24,117458,MEXICO
87,Emma,Smith,MS,SCU,Engineering,2003,2003-10-23,147509,CANADA
88,Zoe,Wilson,MBA,ISU,Business,2007,2007-01-12,164747,UK
89,Michael,Rodriguez,MD,MIT,Accounting,2009,2009-10-06,179679,GERMANY
90,Sebastian,Johnson,MD,MIT,Computer Science,2023,2023-07-15,184106,CANADA
91,Sebastian,Nguyen,PHD,SCU,Business,2023,2023-11-12,122827,MEXICO
92,Hannah,Martinez,MS,MIT,Business,2012,2012-05-21,108440,UK
93,Evelyn,Lewis,PHD,Harvard,Bio Informatics,2007,2007-04-02,153308,MEXICO
94,Ava,Wilson,MS,ISU,Business,2005,2005-06-21,180447,MEXICO
95,Evelyn,Allen,PHD,SCU,Computer Science,2001,2001-06-14,132424,USA
96,Nora,Jones,MD,MIT,Accounting,2015,2015-07-25,180464,GERMANY
97,Aurora,Adams,MBA,SCU,Bio Informatics,2012,2012-10-25,174595,USA
98,Ava,Taylor,MBA,MIT,Engineering,2010,2010-01-03,172476,FRANCE
99,Grace,Lewis,PHD,MIT,Engineering,2016,2016-06-23,104458,GERMANY
100,Alexander,Allen,MD,SCU,Data Science,2009,2009-06-27,167160,USA
101,Daniel,Ramirez,PHD,Harvard,Data Science,2025,2025-10-01,136716,ITALY
102,Riley,Nguyen,PHD,ISU,Engineering,2025,2025-07-18,190420,FRANCE
103,Aria,Flores,MS,SCU,Computer Science,2004,2004-02-19,106825,GERMANY
104,Amelia,Anderson,PHD,MIT,Accounting,2000,2000-01-02,108826,ITALY
105,Riley,Lewis,MS,Harvard,Computer Science,2004,2004-07-21,185019,MEXICO
106,Nora,Sanchez,MS,ISU,Accounting,2020,2020-06-17,125844,USA
107,Mason,Johnson,PHD,Harvard,Computer Science,2008,2008-02-18,189441,GERMANY
108,Chloe,Mitchell,MS,ISU,Business,2009,2009-08-24,126524,SPAIN
109,Isabella,White,MS,MIT,Computer Science,2023,2023-01-14,140123,CANADA
110,Ethan,Green,MS,SCU,Bio Informatics,2018,2018-03-29,155099,MEXICO
111,Lillian,Gonzalez,MBA,Harvard,Computer Science,2010,2010-11-02,139119,SPAIN
112,Chloe,Martin,PHD,Harvard,Data Science,2024,2024-05-04,144468,GERMANY
113,Elijah,Johnson,PHD,Stanford,Business,2013,2013-03-18,160940,MEXICO
114,Jack,King,PHD,Harvard,Computer Science,2009,2009-10-18,105092,SPAIN
115,Hazel,Torres,PHD,SCU,Business,2024,2024-09-16,163179,USA
116,Benjamin,Lopez,PHD,Harvard,Engineering,2005,2005-07-07,167625,ITALY
117,Michael,Mitchell,MBA,MIT,Computer Science,2005,2005-09-23,166981,FRANCE
118,Henry,Taylor,PHD,SCU,Accounting,2004,2004-02-24,196127,SPAIN
119,Michael,Garcia,PHD,SCU,Computer Science,2009,2009-07-24,142237,FRANCE
120,Aiden,Walker,PHD,ISU,Accounting,2002,2002-05-23,107688,CANADA
121,Ella,King,MD,Harvard,Bio Informatics,2016,2016-07-21,146510,SPAIN
122,Emma,Johnson,PHD,Stanford,Computer Science,2001,2001-01-27,189112,MEXICO
123,Harper,Rodriguez,MS,ISU,Bio Informatics,2002,2002-10-11,156287,UK
124,Aurora,Thomas,PHD,ISU,Engineering,2000,2000-12-21,181956,USA
125,Lillian,Martinez,MS,SCU,Computer Science,2014,2014-09-17,170783,USA
126,Liam,Walker,MS,ISU,Computer Science,2018,2018-12-22,198793,CANADA
127,Zoe,Brown,MS,SCU,Computer Science,2014,2014-08-03,126226,SPAIN
128,Hazel,Young,MD,MIT,Data Science,2008,2008-07-20,171979,GERMANY
129,Benjamin,Lewis,PHD,Stanford,Accounting,2018,2018-03-11,113146,CANADA
130,Stella,Sanchez,PHD,Harvard,Data Science,2012,2012-03-05,138252,CANADA
131,Grace,Brown,PHD,ISU,Bio Informatics,2000,2000-10-29,153755,FRANCE
132,Mia,Rodriguez,MD,ISU,Business,2002,2002-07-08,140213,ITALY
133,Stella,Parker,MBA,ISU,Data Science,2011,2011-09-13,175358,UK
134,Alexander,Wright,PHD,Harvard,Computer Science,2022,2022-10-20,110441,USA
135,Lillian,Torres,MBA,MIT,Business,2022,2022-05-02,155396,ITALY
136,Mia,Brown,PHD,Stanford,Engineering,2021,2021-07-03,134594,USA
137,Ethan,Jackson,MS,Stanford,Data Science,2013,2013-10-02,107838,CANADA
138,Riley,Robinson,MBA,Harvard,Bio Informatics,2023,2023-07-22,157208,SPAIN
139,Michael,Smith,PHD,MIT,Data Science,2024,2024-04-24,192106,USA
140,Alexander,Ramirez,PHD,MIT,Engineering,2007,2007-02-10,133018,GERMANY
141,Harper,Harris,MS,ISU,Business,2003,2003-10-04,111013,MEXICO
142,Lucas,Baker,PHD,Stanford,Accounting,2009,2009-01-07,183141,GERMANY
143,Chloe,Flores,MD,ISU,Accounting,2000,2000-01-13,164433,UK
144,Lily,Moore,MBA,Stanford,Accounting,2006,2006-07-25,149589,SPAIN
145,Sofia,Lee,MBA,MIT,Computer Science,2009,2009-07-09,184499,USA
146,Ethan,Clark,PHD,Stanford,Bio Informatics,2008,2008-11-19,135890,ITALY
147,Harper,Ramirez,PHD,MIT,Bio Informatics,2022,2022-12-24,175607,ITALY
148,Logan,Green,MBA,SCU,Data Science,2020,2020-08-17,126604,USA
149,Sofia,Nelson,PHD,ISU,Business,2012,2012-08-30,174329,MEXICO
150,James,Robinson,MBA,ISU,Bio Informatics,2017,2017-06-27,158895,SPAIN
151,Logan,Anderson,MS,Stanford,Accounting,2008,2008-11-13,101992,SPAIN
152,Grace,Harris,MBA,SCU,Engineering,2018,2018-08-08,116534,SPAIN
153,Harper,Adams,MBA,SCU,Computer Science,2003,2003-10-17,178442,SPAIN
154,Hazel,Baker,MS,MIT,Data Science,2009,2009-01-18,166875,ITALY
155,Emily,Johnson,MS,ISU,Engineering,2000,2000-09-16,177799,FRANCE
156,Aria,Jones,PHD,Stanford,Bio Informatics,2021,2021-04-17,165473,UK
157,Mason,Baker,PHD,ISU,Engineering,2004,2004-02-02,148323,ITALY
158,Aria,Garcia,MS,Stanford,Accounting,2013,2013-07-10,179927,SPAIN
159,Evelyn,Walker,MBA,Harvard,Business,2019,2019-05-06,155186,SPAIN
160,Michael,Miller,MBA,MIT,Business,2023,2023-06-19,166078,USA
161,Isabella,Robinson,PHD,ISU,Accounting,2000,2000-05-06,187489,FRANCE
162,Victoria,Anderson,PHD,Stanford,Data Science,2015,2015-11-04,177341,GERMANY
163,Sofia,Ramirez,MD,SCU,Computer Science,2012,2012-09-30,102378,USA
164,Sebastian,Young,MBA,Harvard,Business,2012,2012-03-07,158751,GERMANY
165,Jack,Taylor,MBA,ISU,Engineering,2009,2009-06-02,143751,GERMANY
166,Amelia,Taylor,MS,Stanford,Bio Informatics,2013,2013-10-15,112658,GERMANY
167,Jack,Brown,MS,MIT,Engineering,2023,2023-03-09,193601,CANADA
168,Jack,Smith,PHD,MIT,Data Science,2019,2019-10-09,176987,FRANCE
169,Noah,Anderson,MS,MIT,Business,2000,2000-11-15,154292,UK
170,Emily,Nguyen,MS,ISU,Bio Informatics,2019,2019-02-22,189505,UK
171,Elena,Jones,PHD,Harvard,Engineering,2019,2019-06-19,118200,MEXICO
172,Daniel,Mitchell,PHD,MIT,Bio Informatics,2018,2018-08-17,138112,USA
173,Liam,Nelson,MS,ISU,Computer Science,2009,2009-11-12,114742,CANADA
174,Harper,Johnson,PHD,Stanford,Accounting,2018,2018-03-30,102036,ITALY
175,Evelyn,Ramirez,MD,SCU,Data Science,2001,2001-10-08,111418,GERMANY
176,Olivia,Miller,PHD,MIT,Accounting,2007,2007-11-16,125197,ITALY
177,Chloe,Harris,PHD,ISU,Engineering,2018,2018-07-31,180001,CANADA
178,Lily,Nguyen,PHD,Harvard,Computer Science,2007,2007-04-06,128404,UK
179,Jack,Garcia,MS,Stanford,Bio Informatics,2009,2009-06-09,152006,CANADA
180,Sofia,Rodriguez,PHD,Stanford,Engineering,2011,2011-11-22,138019,USA
181,Wyatt,Williams,MS,Stanford,Engineering,2007,2007-02-04,138673,MEXICO
182,Grace,Robinson,PHD,ISU,Engineering,2025,2025-04-18,102019,UK
183,Benjamin,Torres,MBA,ISU,Computer Science,2020,2020-09-19,193710,GERMANY
184,Elijah,Hill,MS,ISU,Engineering,2015,2015-04-17,132091,UK
185,Benjamin,Martin,MBA,Stanford,Accounting,2018,2018-06-12,187454,ITALY
186,Wyatt,Wright,PHD,Stanford,Computer Science,2015,2015-11-28,174375,USA
187,Benjamin,Harris,MS,Harvard,Accounting,2012,2012-03-21,102490,GERMANY
188,Lillian,King,PHD,Stanford,Bio Informatics,2022,2022-11-14,160696,ITALY
189,Amelia,Thomas,MD,ISU,Business,2019,2019-05-17,149735,FRANCE
190,Emily,Thompson,PHD,Stanford,Engineering,2007,2007-08-22,133493,MEXICO
191,Victoria,Thomas,MS,Stanford,Business,2018,2018-11-02,140429,GERMANY
192,Chloe,Johnson,MD,Stanford,Computer Science,2019,2019-08-03,123973,FRANCE
193,Violet,Rodriguez,MS,Harvard,Accounting,2000,2000-10-16,146268,MEXICO
194,Wyatt,Baker,PHD,Stanford,Bio Informatics,2017,2017-10-19,192215,FRANCE
195,Stella,Torres,PHD,MIT,Business,2020,2020-05-19,187362,FRANCE
196,Nora,Clark,MS,MIT,Engineering,2002,2002-01-08,118544,CANADA
197,Elijah,King,MS,SCU,Accounting,2022,2022-07-23,195563,CANADA
198,Chloe,White,MS,SCU,Business,2002,2002-09-23,147165,SPAIN
199,Olivia,White,PHD,Harvard,Business,2022,2022-03-06,146500,GERMANY
200,James,Lopez,PHD,ISU,Data Science,2007,2007-01-29,189427,MEXICO
201,Amelia,Thomas,MBA,MIT,Business,2002,2002-12-12,144610,GERMANY
202,Stella,King,PHD,MIT,Business,2009,2009-10-29,181375,MEXICO
203,Wyatt,Young,PHD,Harvard,Data Science,2023,2023-03-29,139222,UK
204,Benjamin,Miller,MS,Harvard,Accounting,2011,2011-12-18,199176,CANADA
205,Olivia,Perez,MS,MIT,Accounting,2009,2009-03-13,136301,USA
206,Riley,Mitchell,PHD,SCU,Business,2006,2006-12-27,119277,USA
207,Michael,Thomas,MBA,Stanford,Engineering,2000,2000-01-06,179218,MEXICO
208,Aiden,Robinson,MS,Stanford,Engineering,2003,2003-01-28,197387,SPAIN
209,Harper,Carter,PHD,Harvard,Bio Informatics,2003,2003-05-30,184282,UK
210,Sofia,Parker,PHD,Harvard,Engineering,2004,2004-09-14,170611,USA
211,Layla,Miller,MS,MIT,Accounting,2011,2011-05-12,163505,ITALY
212,Logan,Thompson,MD,Harvard,Bio Informatics,2003,2003-08-10,172305,ITALY
213,Nora,Gonzalez,MS,Harvard,Computer Science,2021,2021-10-02,112077,MEXICO
214,Henry,Green,PHD,Harvard,Computer Science,2025,2025-03-31,169017,CANADA
215,Hazel,Hernandez,MBA,ISU,Engineering,2003,2003-09-26,121441,UK
216,Lillian,Carter,PHD,Stanford,Computer Science,2012,2012-11-10,176355,CANADA
217,Daniel,Thompson,MBA,SCU,Accounting,2021,2021-12-14,116721,UK
218,Ava,Martin,PHD,SCU,Engineering,2003,2003-10-22,156303,ITALY
219,Emily,Gonzalez,MS,ISU,Data Science,2019,2019-06-27,177040,FRANCE
220,Mason,Scott,MBA,Harvard,Data Science,2007,2007-03-10,156908,FRANCE
221,Lucas,Parker,PHD,SCU,Engineering,2018,2018-10-24,127363,ITALY
222,Ava,Nelson,MS,Harvard,Computer Science,2000,2000-09-17,190335,SPAIN
223,Hannah,Mitchell,MBA,ISU,Data Science,2005,2005-08-26,116173,USA
224,Benjamin,Johnson,MD,MIT,Data Science,2010,2010-10-23,197173,CANADA
225,Emma,Brown,PHD,ISU,Data Science,2001,2001-01-31,147370,GERMANY
226,Harper,Robinson,PHD,Harvard,Computer Science,2008,2008-10-03,170405,UK
227,Hazel,Williams,PHD,SCU,Data Science,2020,2020-11-27,161853,UK
228,Elena,Davis,PHD,Stanford,Engineering,2010,2010-03-12,191703,UK
229,Olivia,Carter,MS,Stanford,Bio Informatics,2017,2017-01-03,138410,USA
230,Abigail,Parker,MS,Harvard,Accounting,2014,2014-07-29,184422,ITALY
231,Sofia,Nguyen,MS,ISU,Business,2005,2005-03-22,160714,ITALY
232,Emma,Sanchez,MD,ISU,Business,2001,2001-11-27,151014,FRANCE
233,Violet,Flores,PHD,Harvard,Data Science,2024,2024-01-18,123883,MEXICO
234,Chloe,Walker,MBA,Harvard,Bio Informatics,2018,2018-01-01,176707,CANADA
235,Zoe,Miller,PHD,ISU,Bio Informatics,2011,2011-04-10,151504,ITALY
236,Ethan,Baker,PHD,Harvard,Data Science,2018,2018-01-04,121757,SPAIN
237,Logan,Wright,MBA,Stanford,Accounting,2024,2024-11-25,155960,FRANCE
238,Mia,Perez,PHD,MIT,Computer Science,2001,2001-07-06,128372,SPAIN
239,Sofia,Parker,MBA,Harvard,Computer Science,2002,2002-05-31,132204,SPAIN
240,Evelyn,Parker,PHD,SCU,Accounting,2012,2012-10-07,164206,MEXICO
241,Abigail,Garcia,MS,Harvard,Business,2014,2014-08-31,139187,ITALY
242,Layla,Jackson,MS,MIT,Computer Science,2008,2008-04-14,183508,GERMANY
243,Daniel,Garcia,PHD,SCU,Business,2002,2002-03-21,123063,FRANCE
244,Aurora,Perez,MS,ISU,Accounting,2001,2001-12-18,171992,CANADA
245,Amelia,Miller,MS,ISU,Bio Informatics,2000,2000-04-24,122877,GERMANY
246,Hannah,Adams,MS,MIT,Engineering,2025,2025-01-28,108571,UK
247,Benjamin,Thomas,PHD,MIT,Engineering,2004,2004-12-16,194535,GERMANY
248,Liam,Martin,MBA,Stanford,Bio Informatics,2008,2008-07-14,150976,GERMANY
249,Emma,Lopez,MS,Harvard,Computer Science,2010,2010-12-15,103294,ITALY
250,Nora,Wright,PHD,Harvard,Data Science,2002,2002-09-03,191681,SPAIN
251,Mia,Robinson,MS,Harvard,Business,2017,2017-03-28,138986,USA
252,Riley,Perez,MD,ISU,Business,2025,2025-08-26,193174,FRANCE
253,Harper,Martinez,PHD,ISU,Business,2009,2009-12-08,198318,CANADA
254,Liam,Martinez,PHD,MIT,Business,2002,2002-10-01,105007,UK
255,Stella,Rodriguez,PHD,Stanford,Engineering,2012,2012-04-07,148734,GERMANY
256,Jack,Martin,PHD,SCU,Computer Science,2019,2019-04-27,101353,SPAIN
257,Victoria,Miller,MS,ISU,Accounting,2013,2013-08-20,165587,MEXICO
258,Layla,Nguyen,PHD,MIT,Engineering,2008,2008-03-08,150073,CANADA
259,Elijah,Moore,MS,ISU,Engineering,2023,2023-05-12,177485,GERMANY
260,Ava,Green,PHD,Stanford,Accounting,2006,2006-06-01,189401,SPAIN
261,James,Johnson,PHD,Harvard,Computer Science,2008,2008-06-28,172345,USA
262,Emma,Martinez,PHD,SCU,Engineering,2011,2011-12-01,170327,FRANCE
263,Jack,Lopez,PHD,MIT,Bio Informatics,2001,2001-01-09,137393,CANADA
264,Nora,Lopez,MD,Harvard,Engineering,2012,2012-05-22,185678,GERMANY
265,Evelyn,Wilson,PHD,Harvard,Bio Informatics,2008,2008-08-28,194031,UK
266,Elijah,Carter,MBA,MIT,Accounting,2011,2011-10-08,156584,UK
267,Benjamin,Evans,PHD,Harvard,Bio Informatics,2013,2013-09-01,150559,UK
268,Nora,Moore,PHD,MIT,Data Science,2015,2015-05-15,168997,SPAIN
269,Lily,Clark,MS,Stanford,Business,2021,2021-09-16,167018,MEXICO
270,Grace,Hernandez,MBA,MIT,Bio Informatics,2016,2016-10-09,126712,FRANCE
271,Nora,Nelson,PHD,ISU,Computer Science,2006,2006-07-08,175105,SPAIN
272,Aiden,Taylor,PHD,Harvard,Engineering,2024,2024-03-08,184795,UK
273,Ava,Thompson,PHD,MIT,Business,2010,2010-11-20,170600,USA
274,Amelia,Brown,MD,SCU,Engineering,2010,2010-11-18,175812,CANADA
275,Daniel,Scott,MS,MIT,Bio Informatics,2004,2004-03-17,193651,SPAIN
276,Emily,Clark,PHD,Harvard,Data Science,2016,2016-03-25,126124,FRANCE
277,Emma,Nelson,MD,SCU,Accounting,2016,2016-05-29,122011,UK
278,Hazel,Gonzalez,MD,MIT,Business,2022,2022-04-28,169565,GERMANY
279,Sofia,Nguyen,PHD,SCU,Accounting,2011,2011-12-03,135374,UK
280,Sebastian,Wright,MS,SCU,Data Science,2009,2009-12-15,177436,CANADA
281,Lillian,Wright,MS,ISU,Engineering,2012,2012-06-13,174114,MEXICO
282,Stella,Davis,MS,ISU,Computer Science,2011,2011-12-13,170437,FRANCE
283,Grace,Davis,MS,Harvard,Bio Informatics,2009,2009-07-30,135592,USA
284,Lily,Allen,MS,Stanford,Accounting,2016,2016-08-19,155574,CANADA
285,Leo,Wright,PHD,MIT,Accounting,2001,2001-05-25,141029,ITALY
286,Sofia,Harris,MD,Harvard,Business,2009,2009-09-20,126909,UK
287,Henry,Jackson,MS,MIT,Data Science,2012,2012-07-14,154370,CANADA
288,Elijah,Nguyen,MS,SCU,Business,2022,2022-08-20,193273,GERMANY
289,Ethan,Williams,PHD,Stanford,Data Science,2024,2024-04-14,195165,USA
290,Chloe,Flores,PHD,SCU,Engineering,2023,2023-02-03,125418,FRANCE
291,Mason,Jones,MBA,MIT,Data Science,2003,2003-11-05,143392,GERMANY
292,Amelia,Williams,MD,MIT,Accounting,2017,2017-07-27,115651,ITALY
293,Isabella,Flores,MD,ISU,Business,2014,2014-09-14,113619,CANADA
294,Ava,Garcia,MS,Harvard,Data Science,2016,2016-11-24,167521,UK
295,Ava,Thompson,MS,MIT,Bio Informatics,2009,2009-01-07,183074,USA
296,Victoria,White,PHD,SCU,Bio Informatics,2015,2015-09-21,159750,GERMANY
297,Logan,Hill,MBA,MIT,Business,2004,2004-07-22,119345,GERMANY
298,Aurora,Jackson,MD,SCU,Engineering,2021,2021-06-30,118428,ITALY
299,Harper,Anderson,PHD,Stanford,Business,2014,2014-02-05,120380,CANADA
300,Emma,Smith,MD,ISU,Accounting,2011,2011-10-23,103356,UK
301,Elena,Williams,PHD,Stanford,Engineering,2018,2018-08-12,164459,MEXICO
302,Layla,Lewis,MS,MIT,Accounting,2025,2025-02-17,187284,MEXICO
303,Benjamin,Jones,PHD,Stanford,Accounting,2007,2007-09-22,103497,MEXICO
304,Chloe,Brown,MD,Stanford,Engineering,2013,2013-03-16,183619,ITALY
305,Evelyn,Walker,PHD,Stanford,Business,2012,2012-05-30,184902,GERMANY
306,Daniel,Nguyen,PHD,Harvard,Bio Informatics,2020,2020-02-17,139600,USA
307,Violet,White,PHD,Stanford,Computer Science,2012,2012-10-07,162506,UK
308,Nora,Lee,PHD,Harvard,Business,2007,2007-04-07,187721,CANADA
309,Victoria,Robinson,MBA,Stanford,Accounting,2007,2007-02-04,154304,SPAIN
310,Zoe,Wilson,MD,Stanford,Engineering,2007,2007-07-07,181489,UK
311,James,Perez,MS,Stanford,Accounting,2012,2012-07-31,163773,SPAIN
312,Benjamin,White,PHD,Stanford,Engineering,2017,2017-07-24,108382,ITALY
313,Ethan,Davis,PHD,MIT,Computer Science,2003,2003-06-21,145030,ITALY
314,Emily,Parker,MBA,Stanford,Data Science,2011,2011-07-11,178639,ITALY
315,Zoe,Lewis,PHD,Harvard,Business,2010,2010-05-20,149238,MEXICO
316,Riley,Miller,PHD,Harvard,Computer Science,2013,2013-09-14,101319,UK
317,Lucas,Garcia,PHD,ISU,Computer Science,2001,2001-08-08,171120,GERMANY
318,Aria,Johnson,MS,Harvard,Data Science,2000,2000-01-10,152559,USA
319,Elena,Lewis,PHD,Harvard,Engineering,2023,2023-07-30,115368,FRANCE
320,Elena,Nelson,MBA,Harvard,Business,2023,2023-03-31,189304,MEXICO
321,Mason,Baker,PHD,ISU,Data Science,2023,2023-02-02,192332,GERMANY
322,Zoe,Flores,MS,SCU,Business,2014,2014-11-23,123653,GERMANY
323,Elena,Gonzalez,MS,SCU,Bio Informatics,2015,2015-08-07,127476,GERMANY
324,Lillian,Evans,MS,Harvard,Accounting,2005,2005-10-24,160030,CANADA
325,Harper,Torres,MS,MIT,Engineering,2021,2021-01-07,139010,USA
326,Liam,Scott,PHD,MIT,Bio Informatics,2005,2005-06-15,144408,USA
327,Liam,Nelson,MS,SCU,Business,2001,2001-09-17,115508,ITALY
328,Harper,Sanchez,MS,SCU,Business,2022,2022-12-20,138721,UK
329,Layla,Taylor,PHD,SCU,Bio Informatics,2006,2006-02-11,133536,ITALY
