emp_id,name,age,degree,gender,country,dept_id,hire_date,salary
107,Noah Scott,53,MBA,MALE,AUSTRALIA,60,2021-11-07,141381
108,Isabella Jones,62,BS,MALE,FRANCE,80,2020-10-12,155991
109,Olivia Williams,40,MBA,FEMALE,UK,40,2021-09-12,129579
110,Evelyn Rodriguez,32,MBA,FEMALE,FRANCE,60,2020-08-03,78449
111,Mason Clark,57,MBA,MALE,SPAIN,10,2022-09-04,119609
112,Mia Rodriguez,59,PHD,FEMALE,CANADA,40,2023-01-20,133584
113,Lucas Scott,36,BS,FEMALE,FRANCE,70,2020-03-02,64877
114,Logan Young,29,BS,MALE,JAPAN,30,2023-08-12,147881
115,Elijah Lewis,59,MS,FEMALE,CANADA,80,2024-07-09,64288
116,Mia Miller,50,PHD,MALE,ITALY,20,2025-06-18,144518
117,Mia Johnson,47,MBA,MALE,CANADA,80,2020-11-07,144109
118,Alexander Smith,25,MBA,MALE,UK,,2021-02-27,132641
119,Sophia Wright,35,MS,FEMALE,UK,,2020-05-28,78964
120,Olivia King,38,MS,MALE,USA,30,2020-06-26,91186
121,Abigail Lee,23,MS,FEMALE,USA,30,2025-07-17,74896
122,Emma Young,50,MBA,MALE,INDIA,,2021-10-02,155321
123,Evelyn Martinez,51,BS,MALE,INDIA,70,2023-11-04,124260
124,Harper Williams,27,MBA,MALE,CANADA,30,2022-10-21,136724
125,Elijah Lee,46,MBA,FEMALE,JAPAN,,2023-02-26,151983
126,Liam King,35,PHD,FEMALE,GERMANY,70,2022-08-13,114524
127,Liam Lee,49,MBA,FEMALE,ITALY,30,2025-08-03,71957
128,Emma Williams,49,BS,FEMALE,UK,,2020-10-18,133620
129,Lucas Brown,48,MBA,FEMALE,USA,50,2024-05-12,73579
130,Abigail Allen,35,MS,FEMALE,GERMANY,20,2022-09-12,75058
131,Isabella Wright,36,PHD,MALE,AUSTRALIA,50,2020-03-09,152104
132,Logan Lee,44,BS,MALE,UK,,2025-07-03,78595
133,Ava Williams,55,MS,FEMALE,SPAIN,80,2022-03-12,100846
134,Lucas Wright,60,BS,MALE,UK,30,2024-01-22,70693
135,Isabella Walker,64,PHD,FEMALE,AUSTRALIA,80,2023-05-07,158951
136,Evelyn Brown,44,PHD,MALE,FRANCE,,2023-09-22,100425
137,Noah Davis,47,BS,MALE,GERMANY,50,2021-03-25,93491
138,Logan Lee,29,BS,FEMALE,SPAIN,30,2021-07-18,152231
139,Mason Allen,57,MBA,MALE,SPAIN,10,2023-01-15,70205
140,Lucas Wright,49,PHD,FEMALE,FRANCE,20,2023-01-11,82527
141,Alexander Walker,45,BS,FEMALE,CANADA,40,2023-10-13,128676
142,Emma Clark,41,MBA,MALE,ITALY,30,2020-09-21,74945
143,Evelyn Allen,34,MBA,FEMALE,UK,40,2020-03-09,85856
144,Ethan Scott,31,BS,MALE,INDIA,80,2024-10-15,149277
145,Abigail Scott,42,MBA,MALE,INDIA,20,2023-08-21,99691
146,Isabella Wright,25,MBA,MALE,FRANCE,80,2023-01-02,108331
147,Logan Williams,63,BS,FEMALE,INDIA,,2024-12-02,118947
148,Abigail Miller,42,PHD,MALE,USA,80,2020-06-23,71053
149,Evelyn Garcia,24,MS,FEMALE,INDIA,,2024-10-06,107696
150,Mia Martinez,46,PHD,FEMALE,AUSTRALIA,10,2025-11-11,68639
151,Lucas Brown,57,PHD,FEMALE,FRANCE,,2021-06-03,136380
152,Olivia Lopez,41,PHD,MALE,AUSTRALIA,20,2022-09-13,144343
153,Lucas Jones,64,BS,FEMALE,JAPAN,60,2020-06-10,83627
154,Sophia Lee,53,MS,MALE,UK,30,2020-05-28,73256
155,Evelyn King,55,BS,FEMALE,AUSTRALIA,30,2024-07-05,81266
156,Ethan Scott,32,PHD,MALE,SPAIN,60,2025-12-08,118222
157,Alexander Martinez,50,MS,MALE,FRANCE,80,2021-06-22,134766
158,Harper Walker,40,PHD,FEMALE,UK,40,2024-03-28,92768
159,Noah Young,45,BS,MALE,FRANCE,20,2021-05-15,127286
160,Olivia Lewis,27,MS,FEMALE,ITALY,10,2023-01-13,125799
161,Mia Davis,46,BS,FEMALE,GERMANY,10,2022-02-27,153677
162,Lucas Jones,30,BS,FEMALE,INDIA,30,2025-08-15,140654
163,Ava Williams,23,MBA,MALE,UK,,2025-10-17,115476
164,Liam Martinez,37,MBA,MALE,USA,40,2023-11-26,141633
165,Harper Williams,29,PHD,MALE,JAPAN,,2021-12-05,98177
166,James Smith,61,MBA,MALE,AUSTRALIA,70,2021-11-22,71221
167,Evelyn Lopez,26,BS,FEMALE,INDIA,10,2025-07-12,93246
168,Ava Lopez,26,MBA,MALE,CANADA,,2025-06-05,65811
169,Mia King,43,MS,FEMALE,INDIA,30,2021-02-23,119988
170,Noah Martinez,34,BS,MALE,USA,60,2022-09-13,131176
171,Benjamin Rodriguez,24,MS,FEMALE,ITALY,10,2025-06-09,76315
172,Mia Lewis,47,PHD,FEMALE,ITALY,30,2023-12-16,108148
173,Evelyn Rodriguez,27,PHD,MALE,SPAIN,,2021-09-10,102101
174,Liam Williams,42,MBA,FEMALE,INDIA,,2025-07-06,150408
175,Harper Lopez,50,BS,FEMALE,AUSTRALIA,70,2022-11-26,67518
176,Emma Clark,45,MS,MALE,UK,,2025-08-02,76545
177,Emma Davis,63,MBA,FEMALE,SPAIN,,2020-10-05,149006
178,Harper Lopez,45,PHD,MALE,AUSTRALIA,30,2024-06-13,101207
179,Isabella Davis,29,BS,MALE,INDIA,,2023-09-04,94311
180,Isabella Walker,35,MBA,FEMALE,GERMANY,20,2021-02-15,82630
181,Harper Williams,65,MBA,FEMALE,CANADA,,2024-05-10,80644
182,Ethan Lopez,54,MS,MALE,GERMANY,30,2021-08-01,107303
183,Elijah Wright,45,PHD,MALE,AUSTRALIA,20,2020-05-13,153969
184,Benjamin Allen,48,PHD,MALE,UK,60,2025-02-15,121057
185,Evelyn Lopez,30,MS,MALE,SPAIN,,2020-02-17,80056
186,Logan Garcia,32,MBA,MALE,ITALY,,2022-02-09,85729
187,Elijah Rodriguez,30,MBA,MALE,JAPAN,30,2024-10-05,82439
188,Alexander Scott,43,BS,MALE,CANADA,10,2025-10-09,145344
189,Sophia Wright,48,BS,FEMALE,JAPAN,50,2025-05-16,92096
190,Amelia Martinez,51,BS,MALE,UK,80,2023-08-15,86741
191,Lucas Scott,31,MBA,FEMALE,ITALY,70,2021-06-17,133616
192,Liam Lee,37,PHD,MALE,FRANCE,80,2021-03-04,66632
193,Logan Clark,61,PHD,MALE,UK,60,2024-12-11,84881
194,Ethan Young,54,PHD,FEMALE,FRANCE,80,2020-02-13,126249
195,Harper Davis,35,MBA,MALE,USA,50,2023-10-27,145755
196,Benjamin Martinez,56,BS,MALE,SPAIN,30,2022-12-12,112855
197,Mia Johnson,47,BS,MALE,ITALY,,2022-02-13,126093
198,Harper King,39,BS,MALE,CANADA,70,2022-06-18,107920
199,Olivia Miller,60,PHD,MALE,USA,10,2021-12-11,122094
200,Evelyn Walker,31,MS,FEMALE,AUSTRALIA,60,2021-07-20,156904
201,Logan Wright,43,PHD,FEMALE,INDIA,10,2022-06-22,74366
202,James Wright,41,BS,FEMALE,FRANCE,,2024-04-24,66731
203,Abigail Young,32,PHD,MALE,GERMANY,10,2024-12-04,85006
204,Ava Walker,42,PHD,MALE,SPAIN,40,2023-09-25,140147
205,Benjamin Johnson,30,MS,FEMALE,INDIA,,2023-06-06,120249
206,Elijah Lee,56,MBA,FEMALE,AUSTRALIA,80,2021-04-09,133149
207,Logan Davis,41,MBA,MALE,INDIA,60,2023-06-18,154589
208,Isabella Martinez,29,PHD,FEMALE,ITALY,30,2022-01-10,153603
209,Emma Lopez,50,MBA,FEMALE,GERMANY,40,2024-05-18,151248
210,Isabella Jones,28,MS,MALE,USA,,2021-11-08,66880
211,Liam Lewis,43,PHD,MALE,UK,10,2024-03-14,145575
212,Benjamin Young,63,MS,FEMALE,ITALY,50,2025-01-25,71725
213,Abigail Davis,56,BS,MALE,SPAIN,30,2020-07-26,124930
214,Ethan Martinez,24,BS,FEMALE,AUSTRALIA,,2020-06-10,119552
215,Elijah Allen,53,MS,FEMALE,FRANCE,40,2020-06-06,155829
216,Harper Rodriguez,33,BS,FEMALE,FRANCE,,2025-04-06,140079
217,Amelia Lewis,54,MBA,MALE,SPAIN,20,2021-03-16,102415
218,Mason Smith,38,PHD,MALE,INDIA,50,2022-05-19,154749
219,Abigail Smith,38,MBA,MALE,USA,20,2023-05-06,113138
220,Evelyn Martinez,29,MBA,FEMALE,AUSTRALIA,40,2021-03-16,80078
221,Harper Scott,45,PHD,FEMALE,JAPAN,40,2021-11-25,138094
222,Emma Allen,50,MBA,MALE,AUSTRALIA,20,2020-09-17,86497
223,Abigail King,31,MS,FEMALE,JAPAN,80,2020-11-07,153967
224,Abigail Young,27,PHD,MALE,INDIA,30,2024-07-15,133912
225,Noah King,51,MBA,MALE,SPAIN,50,2020-12-07,135800
226,Emma Johnson,49,MBA,MALE,JAPAN,10,2020-08-02,97629
227,James Garcia,30,PHD,FEMALE,SPAIN,80,2023-07-03,149486
228,Elijah Jones,63,MBA,MALE,UK,,2023-09-05,155401
229,Mason Smith,23,MBA,FEMALE,JAPAN,70,2024-07-27,90102
230,Mason Walker,44,MS,FEMALE,GERMANY,20,2020-11-14,140599
231,Ava Davis,35,BS,MALE,AUSTRALIA,10,2023-10-22,152181
232,Noah Davis,24,PHD,FEMALE,GERMANY,,2021-01-05,126046
233,Logan Davis,58,MBA,FEMALE,GERMANY,50,2021-11-17,88972
234,James Martinez,39,BS,MALE,SPAIN,,2023-01-12,144320
235,Amelia Allen,42,PHD,FEMALE,UK,50,2023-03-25,130507
236,Benjamin Davis,36,MBA,MALE,INDIA,10,2024-07-14,133044
237,Evelyn Jones,46,MS,FEMALE,GERMANY,60,2025-02-15,108637
238,Emma King,34,BS,FEMALE,SPAIN,,2024-01-28,69539
239,Sophia Wright,64,MS,FEMALE,GERMANY,60,2022-01-07,84906
240,Liam Young,37,MS,FEMALE,GERMANY,,2022-05-13,121112
241,Elijah Lopez,41,MBA,FEMALE,JAPAN,80,2023-02-26,154688
242,Benjamin Lee,35,MBA,FEMALE,SPAIN,10,2024-04-24,79126
243,Ava Rodriguez,57,PHD,FEMALE,UK,40,2022-04-13,134683
244,Mason Young,57,MBA,FEMALE,INDIA,80,2023-03-24,106160
245,Ethan Jones,56,PHD,MALE,JAPAN,10,2024-01-27,69742
246,Noah Smith,48,MS,MALE,CANADA,30,2020-04-17,119770
247,Mia Johnson,61,PHD,FEMALE,USA,10,2024-09-14,61553
248,Ava Allen,39,MBA,MALE,JAPAN,70,2021-02-04,128732
249,Olivia Davis,34,MBA,FEMALE,FRANCE,70,2020-06-13,120161
250,Abigail Davis,36,MBA,MALE,USA,20,2023-07-13,132443
251,Benjamin Johnson,62,BS,MALE,CANADA,80,2023-11-26,103420
252,Abigail Brown,55,BS,MALE,GERMANY,,2023-05-02,69744
253,Isabella King,58,BS,MALE,ITALY,10,2021-10-05,158599
254,Amelia Williams,41,MS,MALE,AUSTRALIA,70,2025-09-11,110311
255,Olivia Williams,54,MBA,MALE,CANADA,70,2021-02-11,139320
256,Alexander Scott,47,MBA,MALE,FRANCE,80,2023-04-12,132487
257,Amelia Lewis,33,PHD,MALE,AUSTRALIA,50,2021-12-03,70752
258,Isabella Jones,46,MS,FEMALE,ITALY,60,2020-02-01,100405
259,Harper Lopez,39,BS,MALE,CANADA,30,2023-08-18,132710
260,Evelyn Lewis,28,BS,MALE,ITALY,,2020-10-20,102523
261,Amelia Smith,40,PHD,FEMALE,CANADA,,2021-10-17,82227
262,Amelia Garcia,30,MBA,FEMALE,FRANCE,80,2021-02-06,116973
263,Isabella Lewis,41,PHD,MALE,ITALY,50,2021-12-21,124985
264,Alexander Scott,34,PHD,MALE,UK,50,2020-07-11,141289
265,Amelia Lee,50,MBA,FEMALE,AUSTRALIA,30,2022-06-20,151133
266,Sophia Young,42,MS,FEMALE,ITALY,50,2025-12-21,124357
267,Abigail Davis,42,PHD,FEMALE,SPAIN,60,2020-10-07,137624
268,Elijah Garcia,65,BS,FEMALE,GERMANY,80,2022-12-03,113627
269,Benjamin Jones,62,MBA,MALE,FRANCE,30,2025-07-26,109412
270,Emma Walker,60,PHD,FEMALE,JAPAN,,2025-07-18,64818
271,Mia King,60,BS,MALE,GERMANY,60,2021-11-20,65806
272,Abigail Clark,43,PHD,MALE,USA,20,2022-04-17,157891
273,Evelyn King,59,MS,FEMALE,ITALY,70,2023-11-19,150496
274,Evelyn Jones,44,BS,FEMALE,CANADA,50,2023-02-04,155702
275,Olivia Lopez,41,MBA,FEMALE,GERMANY,,2023-06-16,72795
276,Harper Walker,42,BS,FEMALE,USA,20,2020-06-21,74334
277,Ethan Davis,55,MS,MALE,ITALY,,2023-08-08,113090
278,Ethan Garcia,62,PHD,FEMALE,USA,,2021-08-19,116302
279,Amelia Smith,35,MS,FEMALE,CANADA,,2020-09-06,107945
280,Lucas Miller,51,BS,FEMALE,INDIA,,2025-06-20,110939
281,Alexander Clark,59,BS,FEMALE,ITALY,80,2024-03-27,148288
282,Logan Scott,59,BS,MALE,ITALY,20,2021-05-04,83992
283,Mia Jones,54,PHD,FEMALE,AUSTRALIA,30,2024-07-14,84347
284,Benjamin King,63,MS,MALE,INDIA,50,2021-03-11,119113
285,Alexander Johnson,44,BS,FEMALE,UK,40,2023-09-17,145599
286,Benjamin Lewis,65,PHD,FEMALE,INDIA,80,2021-02-19,64044
287,Mason Martinez,24,MBA,MALE,JAPAN,50,2021-08-19,157323
288,Benjamin King,54,BS,MALE,FRANCE,,2022-09-27,159193
289,Noah Walker,56,MS,FEMALE,CANADA,40,2022-01-15,94447
290,Mia Williams,50,BS,MALE,GERMANY,,2025-06-28,153159
291,Alexander Lewis,32,MS,MALE,GERMANY,10,2024-06-18,96842
292,Alexander King,32,MBA,FEMALE,FRANCE,,2022-09-22,72481
293,Olivia Lewis,25,MBA,MALE,UK,40,2021-12-11,92447
294,Amelia Young,31,MBA,FEMALE,SPAIN,80,2020-11-26,72202
295,Amelia Allen,39,MBA,FEMALE,INDIA,60,2024-01-28,156039
296,Emma Walker,62,MBA,MALE,JAPAN,70,2021-07-27,87767
297,Benjamin Rodriguez,42,MBA,FEMALE,JAPAN,,2021-10-28,123614
298,Lucas Johnson,24,BS,FEMALE,USA,20,2021-08-15,60088
299,James Miller,30,MBA,MALE,FRANCE,20,2025-06-09,70803
300,Mia Garcia,25,PHD,FEMALE,GERMANY,70,2025-02-23,72475
301,Ava Miller,52,BS,MALE,AUSTRALIA,40,2024-11-15,61217
302,Ava Lee,29,PHD,MALE,INDIA,20,2021-07-03,155782
303,Liam Brown,42,MBA,FEMALE,UK,70,2021-11-22,78724
304,Emma Allen,58,BS,MALE,INDIA,60,2025-04-21,158077
305,Olivia Lewis,61,PHD,MALE,CANADA,20,2021-02-19,155683
306,Amelia Lopez,49,MBA,MALE,GERMANY,50,2025-02-08,132534
307,Alexander Scott,60,MBA,MALE,FRANCE,40,2024-10-17,84726
308,Amelia Martinez,63,BS,MALE,INDIA,70,2020-04-16,143634
309,Alexander Williams,55,BS,FEMALE,ITALY,30,2023-10-14,107895
310,Elijah Garcia,52,BS,MALE,AUSTRALIA,20,2020-05-07,65220
311,Noah Clark,54,MBA,FEMALE,SPAIN,70,2020-11-18,130471
312,Alexander Jones,39,BS,FEMALE,CANADA,,2021-03-18,102827
313,Amelia Wright,62,BS,FEMALE,SPAIN,40,2020-04-03,116948
314,Liam Walker,61,BS,FEMALE,UK,20,2020-12-05,151946
315,Ava Garcia,53,MBA,FEMALE,UK,60,2021-12-25,95227
316,Liam Smith,43,PHD,FEMALE,JAPAN,20,2022-12-19,142251
317,Emma Young,51,MBA,MALE,INDIA,,2021-06-06,93438
318,Liam Wright,65,BS,MALE,JAPAN,10,2020-01-08,66026
319,Benjamin Lopez,46,MS,MALE,USA,,2025-12-21,114967
320,Mason Lee,37,PHD,FEMALE,FRANCE,20,2024-06-04,125803
